"gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","symbol"
"ENSMUSG00000026304",884.031948862486,-1.06187131570868,0.18668734739166,2.41607653236008e-09,1.19250062483381e-08,"Rab17"
"ENSMUSG00000026307",2466.91529633685,-1.19788412012837,0.110432994034788,3.97119912152627e-28,5.96855727995745e-27,"Scly"
"ENSMUSG00000026260",5290.48721087532,-1.52218423875917,0.10725350665867,1.19295518876777e-46,4.19582065920305e-45,"Ndufa10"
"ENSMUSG00000034212",8.94221124652848,-1.25364713168647,0.856600124740016,0.0179450640735881,0.0374041120876823,"Ankmy1"
"ENSMUSG00000047067",323.618009480493,-1.37347815649567,0.165206834875139,1.34463039101472e-17,1.18232185641428e-16,"Dusp28"
"ENSMUSG00000034159",244.393423919503,-1.36298660353464,0.206387810656916,5.7298916202187e-12,3.44101638736124e-11,"Mab21l4"
"ENSMUSG00000034066",404.469325727929,-1.26188702006793,0.186136590320942,1.98760941646579e-12,1.23206407736184e-11,"Farp2"
"ENSMUSG00000093805",4.22152031075566,-1.43171273687356,0.996212349362236,0.0154199130067146,0.0326930261146729,"Gal3st2b"
"ENSMUSG00000099624",21.3316594960295,-1.5353320640556,0.832764330974903,0.00569423012838235,0.0132972538359778,NA
"ENSMUSG00000040693",152.86113945983,-1.75236954470511,0.276659761451106,2.38474386522995e-11,1.37023075600838e-10,"Slco4c1"
"ENSMUSG00000097814",79.9460597337574,-1.36925064875338,0.242219850226755,2.16518938578532e-09,1.07222482798513e-08,"Panct2"
"ENSMUSG00000089706",146.892108255692,-1.35764022565601,0.168176382714415,1.01783678419182e-16,8.4601290428508e-16,"B230216N24Rik"
"ENSMUSG00000050840",20.9434105187723,-1.59068487971117,0.695053547465674,0.00180709377514737,0.00465133483625002,"Cdh20"
"ENSMUSG00000099669",5.17257206741984,-2.52276626493071,1.47310595514494,0.00208764422204314,0.0053158643319019,NA
"ENSMUSG00000047496",1002.97334549987,-1.57838897670062,0.147501532110515,1.11040142491454e-27,1.64672678778495e-26,"Rnf152"
"ENSMUSG00000097482",24.4805256259848,-1.98660873395776,0.43956564041034,5.66449509663302e-07,2.26194946340429e-06,"Gm17634"
"ENSMUSG00000054006",7.67287884492747,-2.7516737131818,0.80078771429755,3.54547526388569e-05,0.000116396655216262,NA
"ENSMUSG00000050777",2328.30235758143,-1.86856539992937,0.152918143305216,2.44782826006477e-35,5.13813875566602e-34,"Tmem37"
"ENSMUSG00000026347",47.6445680318594,-1.70707445690677,0.287626810310381,2.9808699612625e-10,1.58209956546665e-09,"Tmem163"
"ENSMUSG00000026348",3423.45043502654,-4.23651917155392,0.378358897829953,2.10992497680737e-30,3.55914383927611e-29,"Acmsd"
"ENSMUSG00000102014",4.87663340230029,-1.41138519823711,0.948128802117143,0.014213085536083,0.0303330198148952,"2900009J06Rik"
"ENSMUSG00000026399",228.599208281686,-1.2719844246249,0.416250643852274,0.000256554114176534,0.000752347634718843,"Cd55"
"ENSMUSG00000026415",155.646095962317,-1.30197198903569,0.193533527804007,2.69406282558118e-12,1.65436346292356e-11,"Fcamr"
"ENSMUSG00000086706",115.461390113441,-1.26594450041812,0.290557814684326,1.81736654273521e-06,6.89586550551278e-06,NA
"ENSMUSG00000042251",4646.75788797082,-2.87799435957179,0.153804242275015,7.40046484716335e-79,9.33796507890092e-77,"Pm20d1"
"ENSMUSG00000059149",1073.45485390138,-1.32619868869982,0.238820952561078,4.03365056160655e-09,1.94868162757778e-08,"Mfsd4a"
"ENSMUSG00000102425",39.6433476033569,-2.54072676000219,0.346807584027178,3.30428329043365e-14,2.32800829679953e-13,NA
"ENSMUSG00000041757",4744.37371053656,-1.3102633544473,0.0972906274725013,3.99345907676831e-42,1.14199635109531e-40,"Plekha6"
"ENSMUSG00000101693",42.5870268769006,-1.36537805200796,0.347044313711295,9.87796835433732e-06,3.47205768375464e-05,"Gm19461"
"ENSMUSG00000051985",51.5079642961206,-3.37911098902962,0.411253072066046,2.56833203960303e-17,2.21300647270424e-16,"Igfn1"
